Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
53.9,193.0,66.7,9.0,48.5,68.0,50.0,16.0,41.2,17.0,50.0,36.0,60.3,58.0,,,55.6,18.0,14.3,7.0,True
0.0,2.0,52.4,21.0,0.0,2.0,55.6,18.0,14.3,7.0,50.0,2.0,45.0,20.0,100.0,1.0,55.6,81.0,100.0,2.0,False
53.6,420.0,,,25.0,4.0,50.0,26.0,33.3,12.0,54.0,441.0,54.3,611.0,56.2,153.0,55.6,18.0,14.3,7.0,False
80.0,10.0,,,54.2,349.0,50.0,10.0,14.3,7.0,53.8,13.0,32.4,37.0,51.7,205.0,45.3,53.0,,,False
51.5,2817.0,51.1,231.0,50.0,10.0,65.1,43.0,75.0,16.0,61.0,490.0,,,56.3,339.0,55.0,20.0,57.8,147.0,True
100.0,1.0,66.7,3.0,66.7,60.0,65.1,43.0,51.2,1612.0,,,53.0,570.0,44.0,25.0,46.2,13.0,,,True
33.3,6.0,52.2,23.0,44.1,102.0,41.2,17.0,25.0,8.0,60.0,10.0,60.0,5.0,56.0,84.0,66.7,12.0,50.4,544.0,False
77.8,18.0,56.2,723.0,20.0,5.0,72.7,22.0,51.2,84.0,53.5,215.0,,,50.0,22.0,48.3,58.0,50.0,8.0,True
50.0,4.0,46.7,30.0,57.0,107.0,,,54.8,126.0,62.1,29.0,50.2,1048.0,50.0,14.0,63.3,49.0,58.8,102.0,False
66.7,27.0,51.9,474.0,47.7,44.0,44.4,18.0,,,,,57.0,107.0,43.8,64.0,25.0,4.0,56.8,44.0,True
20.0,5.0,50.0,2.0,33.3,15.0,59.1,44.0,0.0,2.0,44.8,67.0,60.3,375.0,55.6,18.0,25.0,8.0,57.1,7.0,False
60.0,5.0,,,51.4,488.0,65.1,43.0,50.0,54.0,53.8,52.0,42.3,52.0,57.9,19.0,,,68.0,25.0,False
,,62.0,79.0,0.0,2.0,20.0,5.0,33.3,3.0,56.8,88.0,64.1,128.0,43.8,64.0,60.3,58.0,54.9,51.0,False
54.7,298.0,33.3,9.0,0.0,2.0,48.1,308.0,41.2,17.0,100.0,2.0,58.0,81.0,57.0,107.0,57.8,154.0,54.7,86.0,False
54.6,218.0,42.2,161.0,56.7,224.0,44.1,34.0,60.0,20.0,54.9,71.0,66.7,3.0,52.6,173.0,50.0,2.0,66.7,9.0,False
61.2,139.0,53.0,83.0,63.0,100.0,65.1,43.0,,,42.9,7.0,33.3,3.0,75.0,4.0,74.4,39.0,73.2,41.0,True
11.1,9.0,54.4,68.0,52.0,638.0,0.0,1.0,53.1,96.0,55.3,926.0,54.8,42.0,55.6,18.0,52.6,215.0,61.5,26.0,False
55.3,926.0,55.7,352.0,57.9,95.0,,,63.7,91.0,0.0,1.0,,,43.8,64.0,55.6,333.0,56.0,75.0,True
53.6,69.0,63.4,41.0,51.9,27.0,45.1,51.0,53.1,966.0,54.9,415.0,39.2,51.0,43.8,64.0,58.3,12.0,75.0,16.0,False
54.4,609.0,54.4,103.0,56.7,224.0,47.9,351.0,69.6,23.0,66.7,18.0,50.0,6.0,57.1,7.0,38.9,18.0,47.4,19.0,True
41.2,17.0,,,37.5,16.0,50.0,92.0,,,52.1,286.0,61.0,187.0,43.8,64.0,70.6,17.0,75.0,16.0,False
56.4,413.0,52.6,19.0,52.3,585.0,35.3,17.0,0.0,1.0,52.2,23.0,40.0,5.0,56.7,224.0,72.7,11.0,69.6,23.0,False
0.0,1.0,57.1,7.0,54.2,24.0,28.6,7.0,63.2,19.0,52.2,23.0,33.3,12.0,57.0,107.0,72.7,11.0,69.6,23.0,False
50.9,110.0,60.0,5.0,44.1,102.0,49.0,196.0,50.0,2.0,51.5,101.0,54.4,239.0,54.8,498.0,51.8,168.0,58.8,170.0,False
53.2,109.0,63.6,11.0,50.0,16.0,55.6,9.0,51.8,220.0,45.9,148.0,69.6,56.0,46.7,15.0,60.5,76.0,70.0,10.0,True
53.0,83.0,60.0,65.0,75.0,4.0,65.1,43.0,57.1,7.0,54.5,101.0,36.4,11.0,50.6,174.0,50.0,14.0,41.5,82.0,True
42.2,109.0,50.5,93.0,57.5,179.0,48.5,33.0,54.6,97.0,57.1,49.0,45.8,24.0,45.7,35.0,54.0,139.0,57.1,7.0,True
59.5,37.0,54.5,44.0,43.8,64.0,55.6,259.0,100.0,1.0,59.6,47.0,40.9,137.0,54.2,153.0,35.7,14.0,51.9,27.0,True
0.0,2.0,46.2,13.0,47.5,40.0,48.6,35.0,0.0,1.0,56.1,66.0,63.0,54.0,55.6,18.0,52.6,399.0,70.0,10.0,False
,,54.9,335.0,,,69.2,13.0,52.5,101.0,48.8,82.0,58.3,103.0,45.7,35.0,54.5,22.0,57.1,7.0,False
52.7,1715.0,63.3,30.0,45.2,62.0,50.0,38.0,0.0,1.0,,,52.1,265.0,,,55.5,265.0,56.3,144.0,False
,,60.9,384.0,54.6,108.0,46.3,54.0,48.9,88.0,50.8,59.0,,,65.1,43.0,60.0,5.0,57.1,7.0,True
65.5,29.0,59.1,66.0,65.1,43.0,56.8,37.0,75.0,16.0,53.6,780.0,50.0,30.0,47.8,23.0,41.7,12.0,0.0,3.0,True
60.0,5.0,50.0,10.0,54.4,180.0,52.9,68.0,54.9,51.0,55.4,478.0,51.9,216.0,56.7,224.0,40.0,5.0,75.0,16.0,False
0.0,3.0,42.1,19.0,60.0,10.0,43.8,48.0,0.0,3.0,46.7,15.0,57.1,105.0,43.8,64.0,46.8,79.0,57.1,7.0,False
50.0,8.0,51.3,1029.0,51.2,41.0,47.2,108.0,100.0,1.0,47.8,23.0,42.9,28.0,0.0,1.0,55.5,146.0,,,True
53.6,522.0,64.1,128.0,50.0,4.0,47.1,34.0,50.1,1177.0,65.6,61.0,42.9,28.0,64.3,70.0,52.0,50.0,29.4,17.0,True
60.0,15.0,,,50.0,2.0,47.3,93.0,51.2,84.0,56.3,327.0,42.9,28.0,57.4,115.0,60.0,10.0,52.7,129.0,False
52.1,1481.0,39.6,144.0,41.9,31.0,16.7,6.0,50.0,6.0,,,42.9,7.0,,,75.0,8.0,59.5,79.0,False
51.1,47.0,53.4,642.0,54.1,268.0,50.0,4.0,33.3,9.0,66.7,63.0,60.9,23.0,60.3,58.0,57.9,57.0,100.0,1.0,False
60.0,5.0,60.9,23.0,33.3,9.0,65.0,20.0,,,37.5,32.0,0.0,3.0,52.1,48.0,,,0.0,1.0,True
,,61.0,172.0,53.3,15.0,53.6,28.0,53.3,45.0,52.6,95.0,61.9,63.0,50.0,2.0,57.1,21.0,52.8,36.0,False
56.2,331.0,60.9,23.0,55.6,72.0,53.1,147.0,57.4,204.0,52.5,651.0,41.1,56.0,68.8,16.0,51.7,329.0,52.9,274.0,True
55.6,18.0,53.9,566.0,51.3,351.0,53.9,2649.0,56.0,25.0,58.0,143.0,63.6,11.0,,,56.5,92.0,64.9,57.0,False
53.3,15.0,58.3,36.0,54.2,142.0,57.1,14.0,51.9,214.0,50.0,98.0,50.0,6.0,51.8,689.0,,,55.5,308.0,False
56.1,205.0,40.0,20.0,44.4,9.0,54.9,264.0,58.4,262.0,59.3,113.0,67.1,158.0,51.0,98.0,62.5,16.0,100.0,1.0,False
62.9,35.0,53.8,364.0,64.3,42.0,80.0,5.0,,,42.9,21.0,83.3,6.0,,,43.8,16.0,51.4,70.0,True
100.0,2.0,77.8,18.0,77.8,9.0,,,58.6,423.0,52.4,126.0,57.9,95.0,60.7,61.0,60.0,5.0,49.1,273.0,True
50.0,12.0,59.0,188.0,54.5,11.0,83.3,6.0,69.2,13.0,,,,,51.1,710.0,54.7,700.0,0.0,2.0,True
50.0,6.0,58.4,209.0,52.1,119.0,45.1,82.0,61.5,13.0,80.0,5.0,60.0,5.0,100.0,3.0,67.0,91.0,54.5,563.0,False
25.0,4.0,59.1,22.0,56.0,25.0,61.4,70.0,56.0,84.0,28.0,25.0,76.9,26.0,57.4,47.0,100.0,2.0,,,False
56.5,46.0,25.0,4.0,44.4,9.0,57.3,171.0,30.0,10.0,61.4,44.0,57.1,182.0,100.0,3.0,37.5,8.0,100.0,1.0,False
55.6,27.0,70.5,61.0,48.8,84.0,62.5,24.0,59.1,22.0,63.4,41.0,0.0,1.0,57.1,7.0,83.3,6.0,60.0,10.0,True
22.2,9.0,55.6,18.0,55.6,36.0,0.0,2.0,87.5,8.0,54.1,290.0,50.0,10.0,100.0,1.0,83.3,6.0,64.9,37.0,False
48.6,35.0,44.4,9.0,60.1,193.0,83.3,6.0,28.6,7.0,55.7,79.0,66.7,15.0,45.8,24.0,,,52.9,17.0,True
50.0,70.0,47.7,128.0,,,60.0,5.0,45.5,11.0,58.6,203.0,62.5,8.0,,,45.6,57.0,55.8,43.0,False
50.0,70.0,58.1,62.0,33.3,3.0,,,53.4,358.0,100.0,1.0,68.4,19.0,44.4,18.0,60.0,5.0,55.4,193.0,False
,,50.0,16.0,,,71.4,7.0,50.0,12.0,35.3,17.0,,,,,58.3,36.0,55.3,38.0,False
50.0,2.0,,,58.3,599.0,46.3,41.0,36.4,11.0,50.0,10.0,50.0,4.0,,,80.0,5.0,70.0,10.0,False
,,50.0,8.0,,,80.0,5.0,54.9,71.0,50.0,44.0,51.9,449.0,30.6,62.0,59.7,119.0,54.2,297.0,True
